year,month,amount,date.1
1988,Jan,16410,1988-01-01
1988,Feb,17318,1988-02-02
1988,Mar,16871,1988-03-03
1988,Apr,12562,1988-04-04
1988,May,8841,1988-05-05
1988,Jun,7907,1988-06-06
1988,Jul,11519,1988-07-07
1988,Aug,13527,1988-08-08
1988,Sep,12132,1988-09-09
1988,Oct,12745,1988-10-10
1988,Nov,10942,1988-11-11
1988,Dec,14983,1988-12-12
1989,Jan,16834,1989-01-01
1989,Feb,17076,1989-02-02
1989,Mar,17136,1989-03-03
1989,Apr,10314,1989-04-04
1989,May,8013,1989-05-05
1989,Jun,7087,1989-06-06
1989,Jul,10982,1989-07-07
1989,Aug,13748,1989-08-08
1989,Sep,11980,1989-09-09
1989,Oct,13546,1989-10-10
1989,Nov,15018,1989-11-11
1989,Dec,16754,1989-12-12
1990,Jan,19985,1990-01-01
1990,Feb,19580,1990-02-02
1990,Mar,20159,1990-03-03
1990,Apr,15567,1990-04-04
1990,May,10373,1990-05-05
1990,Jun,9437,1990-06-06
1990,Jul,14614,1990-07-07
1990,Aug,17582,1990-08-08
1990,Sep,14808,1990-09-09
1990,Oct,15919,1990-10-10
1990,Nov,16942,1990-11-11
1990,Dec,20190,1990-12-12
1991,Jan,19847,1991-01-01
1991,Feb,17475,1991-02-02
1991,Mar,17049,1991-03-03
1991,Apr,14922,1991-04-04
1991,May,10610,1991-05-05
1991,Jun,9265,1991-06-06
1991,Jul,15657,1991-07-07
1991,Aug,19766,1991-08-08
1991,Sep,16443,1991-09-09
1991,Oct,17411,1991-10-10
1991,Nov,16313,1991-11-11
1991,Dec,21354,1991-12-12
1992,Jan,23435,1992-01-01
1992,Feb,24044,1992-02-02
1992,Mar,22143,1992-03-03
1992,Apr,20110,1992-04-04
1992,May,12548,1992-05-05
1992,Jun,13260,1992-06-06
1992,Jul,19608,1992-07-07
1992,Aug,24193,1992-08-08
1992,Sep,21414,1992-09-09
1992,Oct,18478,1992-10-10
1992,Nov,15415,1992-11-11
1992,Dec,21204,1992-12-12
1993,Jan,24729,1993-01-01
1993,Feb,22634,1993-02-02
1993,Mar,24035,1993-03-03
1993,Apr,19440,1993-04-04
1993,May,14347,1993-05-05
1993,Jun,13678,1993-06-06
1993,Jul,19458,1993-07-07
